study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p
sbmd,PANAS,self,self,without_guess,1.0,231.0,5.909012959038498,0.020721089914326085,0.015825931438907287
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.370948086059386,0.12818939406428076,1.5768840143444293e-07
sbmd,mood,self,self,without_guess,1.0,231.0,5.492245430662692,0.018995318102215664,0.019950079078452844
sbmd,mood,self,self,with_guess,3.0,229.0,10.466444528151776,0.10906069993932832,1.7677923512727157e-06
sbmd,creativity,self,self,without_guess,1.0,231.0,6.369051574377588,0.02261900419943852,0.012284929103235764
sbmd,creativity,self,self,with_guess,3.0,229.0,17.048587490503433,0.17185968492529513,4.987280740407878e-10
sbmd,WEMWB,self,self,without_guess,1.0,227.0,1.3361752341229816,0.0014722819709941382,0.24892475569589245
sbmd,WEMWB,self,self,with_guess,3.0,225.0,5.101044436984802,0.051198389057349636,0.001960607567421337
sbmd,SCS,self,self,without_guess,1.0,227.0,2.0813803880892576e-05,-0.0044051942489307105,0.9963638986409892
sbmd,SCS,self,self,with_guess,3.0,225.0,1.6228959087372947,0.008129370488413779,0.18487898257963592
sbmd,CPS,self,self,without_guess,1.0,185.0,0.02999276418543521,-0.005242432436620037,0.8626959865255326
sbmd,CPS,self,self,with_guess,3.0,183.0,0.4052499473809746,-0.009685654779170827,0.7494016445643067
sbmd,energy,self,self,without_guess,1.0,231.0,18.744239198924273,0.07104964365080224,2.2279024864612462e-05
sbmd,energy,self,self,with_guess,3.0,229.0,18.713821623383932,0.18636877275759056,6.83303381696581e-11
sbmd,focus,self,self,without_guess,1.0,231.0,0.2827612634938277,-0.003101133576008497,0.5954080737266272
sbmd,focus,self,self,with_guess,3.0,229.0,4.884335772016654,0.04782624045733408,0.0026032317484473164
sbmd,temper,self,self,without_guess,1.0,231.0,0.0068920291845856125,-0.004299040440273627,0.9339089250580014
sbmd,temper,self,self,with_guess,3.0,229.0,1.2431806990081753,0.00313472063087028,0.2948243242157314
sbmd,QIDS,self,self,without_guess,1.0,227.0,4.261176188047549,0.014101701988213255,0.04012950188161899
sbmd,QIDS,self,self,with_guess,3.0,225.0,1.5007414875679075,0.006545576916392015,0.21519463728541574
sbmd,STAIT,self,self,without_guess,1.0,227.0,1.135655554593923,0.0005946267113053905,0.2877043633147066
sbmd,STAIT,self,self,with_guess,3.0,225.0,1.6770355439063083,0.008829704214616152,0.17277373180778635
