study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.407994,1.760239,229.0,-4.208515,3.692829e-05,0.0002151418
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.971591,1.951378,229.0,-3.572649,0.0004307536,0.002417527
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.639929,1.686338,229.0,-0.9724794,0.3318382,0.7652513
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.203526,2.015586,229.0,-0.5971097,0.5510241,0.9328641
sbmd,mood,self,self,PLPLvsPLAC,fixCondition,-15.03092,3.672262,229.0,-4.093096,5.901869e-05,0.0003421665
sbmd,mood,self,self,ACPLvsACAC,fixCondition,-11.9375,4.071022,229.0,-2.93231,0.003705867,0.01927539
sbmd,mood,self,self,PLPLvsACPL,fixGuess,-4.357843,3.518086,229.0,-1.238697,0.2167259,0.6029069
sbmd,mood,self,self,PLACvsACAC,fixGuess,-1.264423,4.204973,229.0,-0.3006971,0.7639183,0.9905322
sbmd,energy,self,self,PLPLvsPLAC,fixCondition,-16.10407,3.498962,229.0,-4.602529,6.916607e-06,4.079196e-05
sbmd,energy,self,self,ACPLvsACAC,fixCondition,-14.2822,3.878904,229.0,-3.682019,0.0002886674,0.001633956
sbmd,energy,self,self,PLPLvsACPL,fixGuess,-8.525401,3.352062,229.0,-2.54333,0.01163947,0.05608255
sbmd,energy,self,self,PLACvsACAC,fixGuess,-6.703526,4.006533,229.0,-1.673149,0.09566351,0.3402799
sbmd,WEMWB,self,self,PLPLvsPLAC,fixCondition,-5.510714,1.562839,225.0,-3.526093,0.0005109668,0.002855853
sbmd,WEMWB,self,self,ACPLvsACAC,fixCondition,-1.841402,1.522079,225.0,-1.209794,0.2276275,0.6212758
sbmd,WEMWB,self,self,PLPLvsACPL,fixGuess,-2.978378,1.732422,225.0,-1.7192,0.08695333,0.3161034
sbmd,WEMWB,self,self,PLACvsACAC,fixGuess,0.6909341,1.32586,225.0,0.5211214,0.6027947,0.9539459
sbmd,STAIT,self,self,PLPLvsPLAC,fixCondition,4.538492,2.309031,225.0,1.96554,0.0505819,0.2042172
sbmd,STAIT,self,self,ACPLvsACAC,fixCondition,0.3385803,2.24881,225.0,0.1505598,0.8804579,0.9987806
sbmd,STAIT,self,self,PLPLvsACPL,fixGuess,3.918318,2.559582,225.0,1.530843,0.127213,0.4207889
sbmd,STAIT,self,self,PLACvsACAC,fixGuess,-0.2815934,1.958904,225.0,-0.1437505,0.8858262,0.9989379
