study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI
sbmd,PANAS,self,self,PLPL,10.95098,0.9257515,229.0,9.126901,12.77506
sbmd,PANAS,self,self,ACPL,12.59091,1.40951,229.0,9.813642,15.36818
sbmd,PANAS,self,self,PLAC,18.35897,1.497139,229.0,15.40904,21.3089
sbmd,PANAS,self,self,ACAC,19.5625,1.349503,229.0,16.90347,22.22153
sbmd,mood,self,self,PLPL,54.89216,1.93133,229.0,51.08671,58.69761
sbmd,mood,self,self,ACPL,59.25,2.940561,229.0,53.45599,65.04401
sbmd,mood,self,self,PLAC,69.92308,3.123376,229.0,63.76885,76.07731
sbmd,mood,self,self,ACAC,71.1875,2.815373,229.0,65.64015,76.73485
sbmd,energy,self,self,PLPL,47.58824,1.840187,229.0,43.96237,51.2141
sbmd,energy,self,self,ACPL,56.11364,2.801791,229.0,50.59305,61.63422
sbmd,energy,self,self,PLAC,63.69231,2.975978,229.0,57.82851,69.55611
sbmd,energy,self,self,ACAC,70.39583,2.682511,229.0,65.11028,75.68139
sbmd,WEMWB,self,self,PLPL,45.4,1.163717,225.0,43.10682,47.69318
sbmd,WEMWB,self,self,ACPL,48.37838,1.283373,225.0,45.84941,50.90735
sbmd,WEMWB,self,self,PLAC,50.91071,1.043181,225.0,48.85506,52.96637
sbmd,WEMWB,self,self,ACAC,50.21978,0.8183387,225.0,48.60719,51.83237
sbmd,STAIT,self,self,PLPL,42.37778,1.719345,225.0,38.9897,45.76586
sbmd,STAIT,self,self,ACPL,38.45946,1.896131,225.0,34.72301,42.19591
sbmd,STAIT,self,self,PLAC,37.83929,1.541258,225.0,34.80214,40.87643
sbmd,STAIT,self,self,ACAC,38.12088,1.209062,225.0,35.73835,40.50341
